position,temperature
0,100.000000
1,99.973008
2,99.946016
3,99.919023
4,99.892031
5,99.865039
6,99.838047
7,99.811054
8,99.784062
9,99.757070
10,99.730078
11,99.703086
12,99.676094
13,99.649101
14,99.622109
15,99.595117
16,99.568125
17,99.541133
18,99.514141
19,99.487149
20,99.460157
21,99.433165
22,99.406173
23,99.379182
24,99.352190
25,99.325198
26,99.298206
27,99.271215
28,99.244223
29,99.217231
30,99.190240
31,99.163248
32,99.136257
33,99.109265
34,99.082274
35,99.055282
36,99.028291
37,99.001300
38,98.974309
39,98.947318
40,98.920327
41,98.893336
42,98.866345
43,98.839354
44,98.812363
45,98.785372
46,98.758382
47,98.731391
48,98.704401
49,98.677410
50,98.650420
51,98.623429
52,98.596439
53,98.569449
54,98.542459
55,98.515469
56,98.488479
57,98.461489
58,98.434500
59,98.407510
60,98.380520
61,98.353531
62,98.326541
63,98.299552
64,98.272563
65,98.245574
66,98.218585
67,98.191596
68,98.164607
69,98.137619
70,98.110630
71,98.083642
72,98.056653
73,98.029665
74,98.002677
75,97.975689
76,97.948701
77,97.921713
78,97.894725
79,97.867738
80,97.840750
81,97.813763
82,97.786776
83,97.759789
84,97.732802
85,97.705815
86,97.678828
87,97.651842
88,97.624855
89,97.597869
90,97.570883
91,97.543897
92,97.516911
93,97.489925
94,97.462940
95,97.435954
96,97.408969
97,97.381984
98,97.354999
99,97.328014
100,97.301029
101,97.274044
102,97.247060
103,97.220076
104,97.193092
105,97.166108
106,97.139124
107,97.112140
108,97.085157
109,97.058173
110,97.031190
111,97.004207
112,96.977224
113,96.950242
114,96.923259
115,96.896277
116,96.869295
117,96.842313
118,96.815331
119,96.788350
120,96.761368
121,96.734387
122,96.707406
123,96.680425
124,96.653444
125,96.626464
126,96.599484
127,96.572503
128,96.545524
129,96.518544
130,96.491564
131,96.464585
132,96.437606
133,96.410627
134,96.383648
135,96.356670
136,96.329691
137,96.302713
138,96.275735
139,96.248758
140,96.221780
141,96.194803
142,96.167826
143,96.140849
144,96.113872
145,96.086896
146,96.059920
147,96.032944
148,96.005968
149,95.978992
150,95.952017
151,95.925042
152,95.898067
153,95.871093
154,95.844118
155,95.817144
156,95.790170
157,95.763197
158,95.736223
159,95.709250
160,95.682277
161,95.655304
162,95.628332
163,95.601359
164,95.574387
165,95.547416
166,95.520444
167,95.493473
168,95.466502
169,95.439531
170,95.412561
171,95.385591
172,95.358621
173,95.331651
174,95.304682
175,95.277712
176,95.250743
177,95.223775
178,95.196806
179,95.169838
180,95.142871
181,95.115903
182,95.088936
183,95.061969
184,95.035002
185,95.008035
186,94.981069
187,94.954103
188,94.927138
189,94.900172
190,94.873207
191,94.846243
192,94.819278
193,94.792314
194,94.765350
195,94.738387
196,94.711423
197,94.684460
198,94.657498
199,94.630535
200,94.603573
201,94.576611
202,94.549650
203,94.522689
204,94.495728
205,94.468767
206,94.441807
207,94.414847
208,94.387887
209,94.360928
210,94.333969
211,94.307010
212,94.280052
213,94.253094
214,94.226136
215,94.199179
216,94.172222
217,94.145265
218,94.118308
219,94.091352
220,94.064396
221,94.037441
222,94.010486
223,93.983531
224,93.956577
225,93.929623
226,93.902669
227,93.875715
228,93.848762
229,93.821810
230,93.794857
231,93.767905
232,93.740954
233,93.714002
234,93.687051
235,93.660101
236,93.633150
237,93.606200
238,93.579251
239,93.552302
240,93.525353
241,93.498404
242,93.471456
243,93.444508
244,93.417561
245,93.390614
246,93.363667
247,93.336721
248,93.309775
249,93.282830
250,93.255885
251,93.228940
252,93.201995
253,93.175051
254,93.148108
255,93.121164
256,93.094222
257,93.067279
258,93.040337
259,93.013395
260,92.986454
261,92.959513
262,92.932572
263,92.905632
264,92.878693
265,92.851753
266,92.824814
267,92.797876
268,92.770938
269,92.744000
270,92.717063
271,92.690126
272,92.663189
273,92.636253
274,92.609317
275,92.582382
276,92.555447
277,92.528513
278,92.501579
279,92.474645
280,92.447712
281,92.420779
282,92.393847
283,92.366915
284,92.339983
285,92.313052
286,92.286122
287,92.259191
288,92.232262
289,92.205332
290,92.178403
291,92.151475
292,92.124547
293,92.097619
294,92.070692
295,92.043765
296,92.016839
297,91.989913
298,91.962988
299,91.936063
300,91.909138
301,91.882214
302,91.855291
303,91.828368
304,91.801445
305,91.774523
306,91.747601
307,91.720680
308,91.693759
309,91.666839
310,91.639919
311,91.612999
312,91.586080
313,91.559162
314,91.532244
315,91.505326
316,91.478409
317,91.451492
318,91.424576
319,91.397661
320,91.370745
321,91.343831
322,91.316917
323,91.290003
324,91.263090
325,91.236177
326,91.209265
327,91.182353
328,91.155441
329,91.128531
330,91.101620
331,91.074711
332,91.047801
333,91.020892
334,90.993984
335,90.967076
336,90.940169
337,90.913262
338,90.886356
339,90.859450
340,90.832545
341,90.805640
342,90.778736
343,90.751832
344,90.724929
345,90.698026
346,90.671124
347,90.644222
348,90.617321
349,90.590420
350,90.563520
351,90.536621
352,90.509721
353,90.482823
354,90.455925
355,90.429027
356,90.402130
357,90.375234
358,90.348338
359,90.321443
360,90.294548
361,90.267654
362,90.240760
363,90.213867
364,90.186974
365,90.160082
366,90.133191
367,90.106300
368,90.079409
369,90.052519
370,90.025630
371,89.998741
372,89.971853
373,89.944965
374,89.918078
375,89.891191
376,89.864305
377,89.837420
378,89.810535
379,89.783651
380,89.756767
381,89.729884
382,89.703001
383,89.676119
384,89.649238
385,89.622357
386,89.595477
387,89.568597
388,89.541718
389,89.514839
390,89.487961
391,89.461084
392,89.434207
393,89.407331
394,89.380455
395,89.353580
396,89.326705
397,89.299832
398,89.272958
399,89.246086
400,89.219213
401,89.192342
402,89.165471
403,89.138601
404,89.111731
405,89.084862
406,89.057993
407,89.031126
408,89.004258
409,88.977392
410,88.950526
411,88.923660
412,88.896795
413,88.869931
414,88.843067
415,88.816204
416,88.789342
417,88.762480
418,88.735619
419,88.708759
420,88.681899
421,88.655040
422,88.628181
423,88.601323
424,88.574466
425,88.547609
426,88.520753
427,88.493897
428,88.467043
429,88.440188
430,88.413335
431,88.386482
432,88.359630
433,88.332778
434,88.305927
435,88.279077
436,88.252227
437,88.225378
438,88.198530
439,88.171682
440,88.144835
441,88.117988
442,88.091143
443,88.064297
444,88.037453
445,88.010609
446,87.983766
447,87.956924
448,87.930082
449,87.903241
450,87.876400
451,87.849560
452,87.822721
453,87.795883
454,87.769045
455,87.742208
456,87.715372
457,87.688536
458,87.661701
459,87.634866
460,87.608033
461,87.581200
462,87.554367
463,87.527536
464,87.500705
465,87.473874
466,87.447045
467,87.420216
468,87.393388
469,87.366560
470,87.339733
471,87.312907
472,87.286082
473,87.259257
474,87.232433
475,87.205610
476,87.178787
477,87.151965
478,87.125144
479,87.098324
480,87.071504
481,87.044685
482,87.017867
483,86.991049
484,86.964232
485,86.937416
486,86.910600
487,86.883786
488,86.856972
489,86.830158
490,86.803346
491,86.776534
492,86.749723
493,86.722912
494,86.696103
495,86.669294
496,86.642486
497,86.615678
498,86.588871
499,86.562065
500,86.535260
501,86.508456
502,86.481652
503,86.454849
504,86.428046
505,86.401245
506,86.374444
507,86.347644
508,86.320845
509,86.294046
510,86.267248
511,86.240451
512,86.213655
513,86.186860
514,86.160065
515,86.133271
516,86.106478
517,86.079685
518,86.052893
519,86.026102
520,85.999312
521,85.972523
522,85.945734
523,85.918946
524,85.892159
525,85.865373
526,85.838587
527,85.811802
528,85.785018
529,85.758235
530,85.731453
531,85.704671
532,85.677890
533,85.651110
534,85.624331
535,85.597552
536,85.570775
537,85.543998
538,85.517222
539,85.490446
540,85.463672
541,85.436898
542,85.410125
543,85.383353
544,85.356581
545,85.329811
546,85.303041
547,85.276272
548,85.249504
549,85.222737
550,85.195970
551,85.169204
552,85.142439
553,85.115675
554,85.088912
555,85.062150
556,85.035388
557,85.008627
558,84.981867
559,84.955108
560,84.928350
561,84.901592
562,84.874835
563,84.848079
564,84.821324
565,84.794570
566,84.767817
567,84.741064
568,84.714312
569,84.687561
570,84.660811
571,84.634062
572,84.607314
573,84.580566
574,84.553819
575,84.527074
576,84.500329
577,84.473584
578,84.446841
579,84.420099
580,84.393357
581,84.366616
582,84.339876
583,84.313137
584,84.286399
585,84.259662
586,84.232925
587,84.206189
588,84.179455
589,84.152721
590,84.125988
591,84.099255
592,84.072524
593,84.045794
594,84.019064
595,83.992335
596,83.965607
597,83.938880
598,83.912154
599,83.885429
600,83.858705
601,83.831981
602,83.805259
603,83.778537
604,83.751816
605,83.725096
606,83.698377
607,83.671659
608,83.644942
609,83.618225
610,83.591510
611,83.564795
612,83.538082
613,83.511369
614,83.484657
615,83.457946
616,83.431236
617,83.404526
618,83.377818
619,83.351111
620,83.324404
621,83.297698
622,83.270994
623,83.244290
624,83.217587
625,83.190885
626,83.164184
627,83.137484
628,83.110785
629,83.084086
630,83.057389
631,83.030692
632,83.003997
633,82.977302
634,82.950608
635,82.923916
636,82.897224
637,82.870533
638,82.843843
639,82.817154
640,82.790466
641,82.763778
642,82.737092
643,82.710407
644,82.683722
645,82.657039
646,82.630356
647,82.603675
648,82.576994
649,82.550314
650,82.523636
651,82.496958
652,82.470281
653,82.443605
654,82.416930
655,82.390256
656,82.363583
657,82.336911
658,82.310240
659,82.283569
660,82.256900
661,82.230232
662,82.203565
663,82.176898
664,82.150233
665,82.123568
666,82.096905
667,82.070242
668,82.043581
669,82.016920
670,81.990261
671,81.963602
672,81.936944
673,81.910288
674,81.883632
675,81.856977
676,81.830324
677,81.803671
678,81.777019
679,81.750368
680,81.723718
681,81.697070
682,81.670422
683,81.643775
684,81.617129
685,81.590484
686,81.563840
687,81.537197
688,81.510555
689,81.483915
690,81.457275
691,81.430636
692,81.403998
693,81.377361
694,81.350725
695,81.324090
696,81.297456
697,81.270823
698,81.244192
699,81.217561
700,81.190931
701,81.164302
702,81.137674
703,81.111047
704,81.084422
705,81.057797
706,81.031173
707,81.004550
708,80.977928
709,80.951308
710,80.924688
711,80.898069
712,80.871452
713,80.844835
714,80.818220
715,80.791605
716,80.764992
717,80.738379
718,80.711768
719,80.685157
720,80.658548
721,80.631940
722,80.605332
723,80.578726
724,80.552121
725,80.525517
726,80.498914
727,80.472311
728,80.445710
729,80.419110
730,80.392511
731,80.365914
732,80.339317
733,80.312721
734,80.286126
735,80.259533
736,80.232940
737,80.206348
738,80.179758
739,80.153168
740,80.126580
741,80.099993
742,80.073407
743,80.046821
744,80.020237
745,79.993654
746,79.967072
747,79.940491
748,79.913911
749,79.887333
750,79.860755
751,79.834178
752,79.807603
753,79.781028
754,79.754455
755,79.727883
756,79.701312
757,79.674741
758,79.648172
759,79.621604
760,79.595038
761,79.568472
762,79.541907
763,79.515344
764,79.488781
765,79.462220
766,79.435659
767,79.409100
768,79.382542
769,79.355985
770,79.329429
771,79.302874
772,79.276321
773,79.249768
774,79.223216
775,79.196666
776,79.170117
777,79.143569
778,79.117022
779,79.090476
780,79.063931
781,79.037387
782,79.010844
783,78.984303
784,78.957762
785,78.931223
786,78.904685
787,78.878148
788,78.851612
789,78.825077
790,78.798544
791,78.772011
792,78.745480
793,78.718950
794,78.692420
795,78.665892
796,78.639366
797,78.612840
798,78.586315
799,78.559792
800,78.533269
801,78.506748
802,78.480228
803,78.453709
804,78.427192
805,78.400675
806,78.374159
807,78.347645
808,78.321132
809,78.294620
810,78.268109
811,78.241599
812,78.215091
813,78.188583
814,78.162077
815,78.135572
816,78.109068
817,78.082565
818,78.056064
819,78.029563
820,78.003064
821,77.976566
822,77.950069
823,77.923573
824,77.897078
825,77.870585
826,77.844092
827,77.817601
828,77.791111
829,77.764622
830,77.738135
831,77.711648
832,77.685163
833,77.658679
834,77.632196
835,77.605714
836,77.579234
837,77.552754
838,77.526276
839,77.499799
840,77.473323
841,77.446849
842,77.420375
843,77.393903
844,77.367432
845,77.340962
846,77.314494
847,77.288026
848,77.261560
849,77.235095
850,77.208631
851,77.182168
852,77.155707
853,77.129247
854,77.102787
855,77.076330
856,77.049873
857,77.023418
858,76.996963
859,76.970510
860,76.944058
861,76.917608
862,76.891158
863,76.864710
864,76.838263
865,76.811818
866,76.785373
867,76.758930
868,76.732488
869,76.706047
870,76.679607
871,76.653169
872,76.626732
873,76.600296
874,76.573861
875,76.547427
876,76.520995
877,76.494564
878,76.468134
879,76.441706
880,76.415278
881,76.388852
882,76.362427
883,76.336004
884,76.309581
885,76.283160
886,76.256740
887,76.230322
888,76.203904
889,76.177488
890,76.151073
891,76.124659
892,76.098247
893,76.071836
894,76.045426
895,76.019017
896,75.992610
897,75.966203
898,75.939799
899,75.913395
900,75.886993
901,75.860591
902,75.834191
903,75.807793
904,75.781396
905,75.754999
906,75.728605
907,75.702211
908,75.675819
909,75.649428
910,75.623038
911,75.596649
912,75.570262
913,75.543876
914,75.517492
915,75.491108
916,75.464726
917,75.438345
918,75.411966
919,75.385588
920,75.359211
921,75.332835
922,75.306460
923,75.280087
924,75.253715
925,75.227345
926,75.200976
927,75.174608
928,75.148241
929,75.121876
930,75.095511
931,75.069149
932,75.042787
933,75.016427
934,74.990068
935,74.963710
936,74.937354
937,74.910999
938,74.884645
939,74.858293
940,74.831942
941,74.805592
942,74.779243
943,74.752896
944,74.726550
945,74.700206
946,74.673862
947,74.647520
948,74.621180
949,74.594841
950,74.568503
951,74.542166
952,74.515830
953,74.489496
954,74.463164
955,74.436832
956,74.410502
957,74.384173
958,74.357846
959,74.331520
960,74.305195
961,74.278872
962,74.252550
963,74.226229
964,74.199909
965,74.173591
966,74.147274
967,74.120959
968,74.094645
969,74.068332
970,74.042020
971,74.015710
972,73.989402
973,73.963094
974,73.936788
975,73.910483
976,73.884180
977,73.857878
978,73.831577
979,73.805278
980,73.778980
981,73.752683
982,73.726388
983,73.700094
984,73.673801
985,73.647510
986,73.621220
987,73.594932
988,73.568645
989,73.542359
990,73.516074
991,73.489791
992,73.463509
993,73.437229
994,73.410950
995,73.384672
996,73.358396
997,73.332121
998,73.305848
999,73.279576
1000,73.253305
1001,73.227035
1002,73.200767
1003,73.174501
1004,73.148235
1005,73.121972
1006,73.095709
1007,73.069448
1008,73.043188
1009,73.016930
1010,72.990673
1011,72.964417
1012,72.938163
1013,72.911910
1014,72.885658
1015,72.859408
1016,72.833160
1017,72.806912
1018,72.780667
1019,72.754422
1020,72.728179
1021,72.701937
1022,72.675697
1023,72.649458
1024,72.623220
1025,72.596984
1026,72.570749
1027,72.544516
1028,72.518284
1029,72.492054
1030,72.465825
1031,72.439597
1032,72.413370
1033,72.387146
1034,72.360922
1035,72.334700
1036,72.308479
1037,72.282260
1038,72.256042
1039,72.229826
1040,72.203611
1041,72.177397
1042,72.151185
1043,72.124974
1044,72.098765
1045,72.072557
1046,72.046350
1047,72.020145
1048,71.993941
1049,71.967739
1050,71.941538
1051,71.915339
1052,71.889141
1053,71.862944
1054,71.836749
1055,71.810556
1056,71.784363
1057,71.758173
1058,71.731983
1059,71.705795
1060,71.679609
1061,71.653424
1062,71.627240
1063,71.601058
1064,71.574877
1065,71.548698
1066,71.522520
1067,71.496343
1068,71.470168
1069,71.443995
1070,71.417823
1071,71.391652
1072,71.365483
1073,71.339315
1074,71.313149
1075,71.286984
1076,71.260820
1077,71.234659
1078,71.208498
1079,71.182339
1080,71.156181
1081,71.130025
1082,71.103871
1083,71.077717
1084,71.051566
1085,71.025415
1086,70.999267
1087,70.973119
1088,70.946973
1089,70.920829
1090,70.894686
1091,70.868544
1092,70.842404
1093,70.816266
1094,70.790129
1095,70.763993
1096,70.737859
1097,70.711726
1098,70.685595
1099,70.659465
1100,70.633337
1101,70.607210
1102,70.581085
1103,70.554961
1104,70.528839
1105,70.502718
1106,70.476599
1107,70.450481
1108,70.424364
1109,70.398249
1110,70.372136
1111,70.346024
1112,70.319914
1113,70.293805
1114,70.267697
1115,70.241591
1116,70.215487
1117,70.189384
1118,70.163282
1119,70.137182
1120,70.111084
1121,70.084987
1122,70.058891
1123,70.032797
1124,70.006705
1125,69.980614
1126,69.954524
1127,69.928436
1128,69.902350
1129,69.876265
1130,69.850181
1131,69.824099
1132,69.798019
1133,69.771940
1134,69.745862
1135,69.719787
1136,69.693712
1137,69.667639
1138,69.641568
1139,69.615498
1140,69.589430
1141,69.563363
1142,69.537297
1143,69.511234
1144,69.485171
1145,69.459111
1146,69.433051
1147,69.406994
1148,69.380937
1149,69.354883
1150,69.328830
1151,69.302778
1152,69.276728
1153,69.250679
1154,69.224632
1155,69.198587
1156,69.172543
1157,69.146500
1158,69.120459
1159,69.094420
1160,69.068382
1161,69.042346
1162,69.016311
1163,68.990278
1164,68.964246
1165,68.938216
1166,68.912188
1167,68.886160
1168,68.860135
1169,68.834111
1170,68.808089
1171,68.782068
1172,68.756048
1173,68.730031
1174,68.704014
1175,68.678000
1176,68.651987
1177,68.625975
1178,68.599965
1179,68.573956
1180,68.547950
1181,68.521944
1182,68.495940
1183,68.469938
1184,68.443937
1185,68.417938
1186,68.391941
1187,68.365945
1188,68.339950
1189,68.313957
1190,68.287966
1191,68.261976
1192,68.235988
1193,68.210001
1194,68.184016
1195,68.158033
1196,68.132051
1197,68.106071
1198,68.080092
1199,68.054115
1200,68.028139
1201,68.002165
1202,67.976193
1203,67.950222
1204,67.924252
1205,67.898285
1206,67.872318
1207,67.846354
1208,67.820391
1209,67.794429
1210,67.768469
1211,67.742511
1212,67.716555
1213,67.690599
1214,67.664646
1215,67.638694
1216,67.612744
1217,67.586795
1218,67.560848
1219,67.534902
1220,67.508958
1221,67.483016
1222,67.457075
1223,67.431136
1224,67.405198
1225,67.379262
1226,67.353328
1227,67.327395
1228,67.301464
1229,67.275534
1230,67.249606
1231,67.223680
1232,67.197755
1233,67.171832
1234,67.145910
1235,67.119990
1236,67.094072
1237,67.068155
1238,67.042240
1239,67.016326
1240,66.990414
1241,66.964504
1242,66.938595
1243,66.912688
1244,66.886782
1245,66.860879
1246,66.834976
1247,66.809076
1248,66.783176
1249,66.757279
1250,66.731383
1251,66.705489
1252,66.679596
1253,66.653705
1254,66.627816
1255,66.601928
1256,66.576042
1257,66.550158
1258,66.524275
1259,66.498394
1260,66.472514
1261,66.446636
1262,66.420760
1263,66.394885
1264,66.369012
1265,66.343141
1266,66.317271
1267,66.291403
1268,66.265536
1269,66.239671
1270,66.213808
1271,66.187946
1272,66.162086
1273,66.136228
1274,66.110371
1275,66.084516
1276,66.058663
1277,66.032811
1278,66.006961
1279,65.981112
1280,65.955265
1281,65.929420
1282,65.903576
1283,65.877734
1284,65.851894
1285,65.826055
1286,65.800218
1287,65.774383
1288,65.748549
1289,65.722717
1290,65.696887
1291,65.671058
1292,65.645231
1293,65.619406
1294,65.593582
1295,65.567760
1296,65.541939
1297,65.516120
1298,65.490303
1299,65.464488
1300,65.438674
1301,65.412862
1302,65.387051
1303,65.361242
1304,65.335435
1305,65.309630
1306,65.283826
1307,65.258024
1308,65.232223
1309,65.206424
1310,65.180627
1311,65.154831
1312,65.129038
1313,65.103245
1314,65.077455
1315,65.051666
1316,65.025879
1317,65.000093
1318,64.974310
1319,64.948527
1320,64.922747
1321,64.896968
1322,64.871191
1323,64.845416
1324,64.819642
1325,64.793870
1326,64.768099
1327,64.742331
1328,64.716564
1329,64.690798
1330,64.665035
1331,64.639273
1332,64.613513
1333,64.587754
1334,64.561997
1335,64.536242
1336,64.510488
1337,64.484736
1338,64.458986
1339,64.433238
1340,64.407491
1341,64.381746
1342,64.356003
1343,64.330261
1344,64.304521
1345,64.278783
1346,64.253046
1347,64.227311
1348,64.201578
1349,64.175847
1350,64.150117
1351,64.124389
1352,64.098662
1353,64.072938
1354,64.047215
1355,64.021493
1356,63.995774
1357,63.970056
1358,63.944340
1359,63.918625
1360,63.892912
1361,63.867201
1362,63.841492
1363,63.815784
1364,63.790079
1365,63.764374
1366,63.738672
1367,63.712971
1368,63.687272
1369,63.661575
1370,63.635879
1371,63.610185
1372,63.584493
1373,63.558802
1374,63.533114
1375,63.507427
1376,63.481741
1377,63.456058
1378,63.430376
1379,63.404696
1380,63.379017
1381,63.353341
1382,63.327666
1383,63.301992
1384,63.276321
1385,63.250651
1386,63.224983
1387,63.199317
1388,63.173652
1389,63.147989
1390,63.122328
1391,63.096668
1392,63.071011
1393,63.045355
1394,63.019701
1395,62.994048
1396,62.968397
1397,62.942748
1398,62.917101
1399,62.891455
1400,62.865812
1401,62.840170
1402,62.814529
